0x1c4	Khớp hậu tố
0x1c5	Dùng ký tự đại diện
0x1c6	Chỉ tìm từ hoàn chỉnh
0x1c7	Bỏ qua ký tự dấu câu
0x1c8	Bỏ qua ký tự khoảng trắng

---------------------------
0x1d0	Tạo ảnh
0x1d1	Tạo hình ảnh Thẻ, Sử dụng dữ liệu từ danh sách Thẻ. 
0x1d2	Thư mục ArtWork
0x1d3	Thư mục đầu ra
0x1d4	Loạt
0x1d5	Chung
0x1d6	Vàng
0x1d7	Bạch Kim
0x1d8	Bí Mật
0x1d9	Nền Ảnh
0x1da	Lớp Phủ
---------------------------
0x1e1	Nguyên Mẫu: 
0x1e2	Loại Thẻ: 
0x1e3	Chủng Tộc: 
0x1e4	Thuộc Tính: 
0x1e5	Thông Tin Thẻ
0x1e6	 Tìm kiếm Thẻ
0x1e7	 Tìm kiếm Tập Lệnh
0x1e8	 Tìm tên Scrapi
0x1e9	 Tìm mô tả Scrapi

---------------------------
0x251	ID
0x252	Định Danh
0x253	Bí Danh
0x254	Tên Thẻ
0x255	Hình ảnh mặc định

0x261	Phạm vi
0x262	Loại Thẻ
0x263	Chủng tộc
0x264	Nhân Vật
0x265	Thuộc tính
0x266	SetCode/Nguyên mẫu
0x267	Danh mục

0x271	Cấp
0x272	Cấp âm
0x273	Hạng
0x274	Link
0x275	Link Rating
0x276	Link Arrows
0x277	Pendulum Scale
0x278	Maximum

0x281	Công
0x282	Thủ
0x283	Rộng
0x284	Cao
0x285	Hiếm

0x28a	Chọn ảnh
0x28b	Chọn một hình ảnh thẻ có sẵn. Chuột phải để đặt kích thước hình ảnh thẻ.
0x28c	Chọn Artwork
0x28d	Chọn một hình ảnh Artwork có sẵn.
0x28e	Mã

0x291	Thêm
0x292	Sạch
0x293	Xóa
0x294	Sửa
0x295	Hoàn tác
0x296	Hoàn tác hành động cuối cùng để khôi phục trạng thái trước đó. Chuột phải để làm lại.
0x297	Đặt lại
0x298	Tải lại
0x299	Lọc
0x29a	Tìm kiếm/Lọc Thẻ trong danh sách bằng dữ liệu trên giao diện. Chuột phải để mở menu.
0x29b	Xóa bộ lọc

0x2a1	ID tăng dần
0x2a2	ID giảm dần
0x2a3	Tên tăng dần
0x2a4	Tên giảm dần
0x2a5	Sắp xếp thẻ trong danh sách theo thứ tự:
0x2a6	Chuột phải để sắp xếp theo mặc định.
---------------------------
0x301	Lỗi
0x302	Cảnh Báo
0x303	Thông Tin
0x304	Thông Báo
0x305	Câu Hỏi

0x311	Có
0x312	Không
0x313	Đồng ý
0x314	Hủy bỏ
0x315	Không lưu
0x316	Thêm nó, éo quan tâm.

0x31e	Lỗi nguồn dữ liệu.
0x31f	Nguồn dữ liệu bị thiếu hoặc không tồn tại, hãy kiểm tra Cập nhật và khởi động lại ứng dụng.

0x330	Đã xảy ra lỗi:
0x331	Lỗi khi tạo tệp cdb:
0x332	Lỗi khi tạo tệp script:
0x333	Lỗi khi tạo tệp hình ảnh thẻ:
0x334	Lỗi khi tạo tệp ceds:
0x335	Lỗi khi đọc tệp:
0x336	Lỗi khi đọc cấu hình:
0x337	Lỗi khi ghi tệp:
0x338	Lỗi khi sao chép thẻ:
0x339	Lỗi khi dán thẻ:
0x33a	Lỗi khi lưu:
0x33b	Lỗi khi lưu Thẻ:
0x33c	Lỗi khi lưu tập lệnh:
0x33d	Lỗi khi thêm thẻ:
0x33e	Lỗi khi xóa thẻ:
0x33f	Lỗi khi xóa file:
0x340	Lỗi khi sửa thẻ:
0x341	Lỗi khi tạo hình ảnh thẻ:
0x342	Lỗi khi xuất dữ liệu:
0x343	Lỗi khi nhập dữ liệu:
0x344	Lỗi khi tải xuống dữ liệu:
0x345	Lỗi khi cập nhật dữ liệu:
0x346	Lỗi khi truy xuất dữ liệu:
0x347	Lỗi kết nối Cơ Sở Dữ Liệu:
0x348	Lỗi khi nhân bản kho lưu trữ:
0x349	Bạn có thể cần xóa thư mục "data\CardData" và thử lại.
0x34a	Lỗi khi tải bộ nhớ đệm Hình ảnh:

0x351	Đường dẫn tệp không hợp lệ.
0x352	Định dạng tệp không hợp lệ.
0x353	Xử lý tập tin không hợp lệ.
0x354	Thao tác tập tin không hợp lệ.
0x355	Đường dẫn thư mục không hợp lệ.

0x35a	Đường dẫn dữ liệu không hợp lệ.
0x35b	Định dạng dữ liệu không hợp lệ.
0x35c	Lựa chọn dữ liệu không hợp lệ.

0x361	Định danh Thẻ không hợp lệ.
0x362	Bí danh Thẻ không hợp lệ.
0x363	Quyền truy cập không hợp lệ.
0x364	Mã hóa không hợp lệ.
0x365	Cài đặt không hợp lệ. Hãy lựa chọn cài đặt trước khi lưu.
2x366	Cỡ chữ không hợp lệ. Cỡ chữ phải là số hợp lệ nằm trong khoảng từ 1 đến 50.
2x367	Item tối đa không hợp lệ. Item tối đa phải là số hợp lệ nằm trong khoảng từ 1 đến 100.
0x368	Kích thước ảnh không hợp lệ. Hãy nhập theo định dạng a,b trong đó a và b là số.
0x369	Kích thước tem độ hiếm không hợp lệ. Hãy nhập theo định dạng a,b trong đó a và b là số.
0x36a	Căn lề tem độ hiếm không hợp lệ. Hãy nhập theo định dạng a,b trong đó a và b là số.
0x36b	DPI của hình ảnh không hợp lệ. DPI phải là số hợp lệ nằm trong khoảng từ 1 đến 100.
0x36c	ngoài phạm vi cho phép.
0x36d	Không được bỏ trống.
0x36e	Phạm vi không hợp lệ.

0x375	Mã màu nền không hợp lệ.
0x376	Mã màu chữ không hợp lệ.

0x381	Không tìm thấy Thẻ nào.
0x382	Không có Thẻ nào được chọn.
0x383	Không có Thẻ để sao chép.
0x384	Không có Thẻ để trích xuất.
0x385	Không có Thẻ để lọc.
0x386	Không có Thẻ để lưu.
0x387	Không có Thẻ để thay thế.
0x388	Không tìm thấy tệp nào.
0x389	Không có cửa sổ nào được chọn.
0x38a	Không có Cơ Sở Dữ Liệu Thẻ nào được chọn.
0x38b	Không tìm thấy Thẻ hợp lệ.
0x38c	Không tìm thấy dữ liệu hợp lệ.
0x38d	Không có dữ liệu hợp lệ trong bảng nhớ tạm.
0x38e	Không dành cho người dùng thông thường.
0x38f	Không tìm thấy mã định danh Konami.
0x390	Không thể tìm kiếm Thẻ này trên Yugipedia.

0x395	Thư mục không tồn tại.
0x396	Tập tin không tồn tại.
0x397	Tập tin đã tồn tại.
0x398	Thẻ không tồn tại trong Cơ Sở Dữ Liệu.
0x399	ID Thẻ đã tồn tại.
0x39a	ID Thẻ không tồn tại.
0x39b	ID Thẻ không tồn tại trong danh sách.
0x39c	Không phải là thư mục.
0x39d	Không phải là tệp Cơ sở dữ liệu.
0x39e	Không phải là tệp hình ảnh.
0x39f	Giá trị Chiều rộng hoặc Chiều cao không phải là số hợp lệ.
0x3a0	Tệp Lua
0x3a1	Mô tả cho ID này.
0x3a2	cho ID
0x3a3	không tìm thấy
0x3a4	trống

0x3aa	Cơ Sở Dữ Liệu đã được tạo thành công, bạn có muốn mở nó không?
0x3ab	File đã được tạo thành công, bạn có muốn mở nó không?
0x3ac	Thêm Thẻ mới thành công!
0x3ad	Cập nhật Thẻ thành công!
0x3ae	Xóa thẻ thành công!
0x3af	Sao chép thẻ thành công!
0x3b0	Dán thẻ thành công!
0x3b1	Thay thế thẻ thành công!
0x3b2	Tạo hình ảnh thẻ thành công!
0x3b3	Lưu thẻ thành công!
0x3b4	Lưu tập lệnh thành công!
0x3b5	Dữ liệu đã được xuất thành công!
0x3b6	Dữ liệu đã được nhập thành công!
0x3b7	Tệp Zip đã được xuất thành công tại:
0x3b8	Tệp Excel đã được xuất thành công tại:
0x3b9	Khóa đăng ký đã được tạo thành công tại:
0x3ba	Nhấp đúp vào tệp này để thiết lập Khóa đăng ký.

0x3c1	Trích xuất dữ liệu hàm thành công!
0x3c2	Trích xuất dữ liệu hằng số thành công!
0x3c3	Kho lưu trữ đã được sao chép thành công!
0x3c4	Dữ liệu đã được cập nhật thành công!
0x3c5	Cài đặt đã được đặt lại về mặc định.
0x3c6	Khởi động lại ứng dụng để áp dụng.
0x3c7	Lọc thành công. Đã tìm thấy
0x3c8	Thẻ trong tổng số
0x3c9	Thẻ.

0x3d4	Chọn thư mục
0x3d5	Lưu tập tin Cơ Sở Dữ Liệu
0x3d6	Lưu tập tin
0x3d7	Tất cả tệp
0x3d8	Tệp văn bản
0x3d9	Tệp Markdown
0x3da	Tệp log
0x3db	Tệp bộ bài
0x3dc	Tệp YAML
0x3dd	Tệp cấu hình
0x3de	Tệp ZIP
0x3df	Tệp Excel

0x3e5	Xác nhận đặt lại?
0x3e6	Xác nhận làm trống?
0x3e7	Xác nhận xóa?

0x3f1	Định danh Thẻ đã bị thay đổi.
0x3f2	Xóa Thẻ đã chọn hay Thẻ có định danh mới nhập?
0x3f3	Tạo Tập Lệnh Thẻ của Thẻ đã chọn hay Thẻ có định danh mới nhập?
0x3f4	Tạo hình ảnh của Thẻ đã chọn hay Thẻ có định danh mới nhập?
0x3f5	Thẻ đã chọn
0x3f6	ID mới nhập

0x401	Bạn có muốn xóa toàn bộ dữ liệu đã chọn trên giao diện không?
0x402	Bạn có chắc không? Những thẻ có ID 4 chữ số hoặc thấp hơn sẽ bị trò chơi bỏ qua.
0x403	Bạn có chắc chắn muốn làm trống tất cả dữ liệu đã chọn trên giao diện không?
0x404	Bạn có chắc chắn muốn Đặt lại thẻ đã chọn không? Những thay đổi sẽ không được lưu.
0x405	Bạn có chắc chắn muốn khôi phục cài đặt mặc định không? Mọi thay đổi sẽ bị mất.
0x406	Bạn có chắc chắn muốn XÓA VĨNH VIỄN thẻ đã chọn không?
0x407	Bạn có chắc chắn muốn lưu tệp trống?
0x408	Bạn có muốn ghi đè nó không?

0x415	Nguồn dữ liệu bị thiếu hoặc không hợp lệ, hãy tải xuống ngay?
0x416	Không tìm thấy bản cập nhật nào.
0x417	Cập nhật hoàn tất!
0x418	Đã có bản cập nhật, tải xuống ngay?

0x421	Không thể xóa tệp hiện có sau nhiều lần thử.
0x422	Không tìm thấy đường dẫn git.exe, hãy đảm bảo Git được cài đặt và sử dụng đường dẫn chính xác trong cấu hình ứng dụng.
0x423	Đường dẫn Git bị thiếu hoặc trống trong cấu hình. Sử dụng đường dẫn Git mặc định.
0x424	Tệp tô sáng cú pháp không tồn tại.
0x425	Sử dụng đường dẫn mặc định.

0x441	Lưu thay đổi của bạn cho tập tin này?
0x442	Bạn đang đóng
0x443	thẻ. Bạn có muốn tiếp tục?
